id,type,long,trend,entry_i,entry_ts,entry,sl,tp,atr,exit_i,exit_ts,exit,reason,bars,gross,comm,net,pts,trail
681,TS,False,True,20208,1756166400000,110111.98,110483.89272951304,109182.19817621737,619.8545491884179,20209,1756168200000,109182.19817621737,TP,1,92.97818237826287,10.96470890881087,82.01347346945201,929.7818237826286,0.0
682,TS,False,True,20230,1756206000000,110216.52,110471.24045000857,109579.7188749786,424.53408334760746,20231,1756207800000,109579.7188749786,TP,1,63.6801125021404,10.989811943748931,52.69030055839147,636.801125021404,0.0
683,TS,False,True,20239,1756222200000,110075.2,110373.30527177315,109329.93682056712,496.84211962191523,20241,1756225800000,110075.2,BE,2,0.0,11.007520000000001,-11.007520000000001,0.0,0.0
684,TL,True,True,20329,1756384200000,112845.46,112657.98072264061,113314.15819339849,312.4654622656564,20329,1756384200000,113314.15819339849,TP,0,46.86981933984789,5.642273000000001,41.22754633984789,468.6981933984789,
685,TS,False,True,20367,1756452600000,110141.13,110377.26178268433,109550.80054328918,393.55297114054935,20370,1756458000000,109550.80054328918,TP,3,59.032945671082416,10.98459652716446,48.04834914391796,590.3294567108242,0.0
686,TS,False,True,20379,1756474200000,110503.37,110800.01269303799,109761.76326740501,494.40448839665703,20379,1756474200000,109761.76326740501,TP,0,74.16067325949844,5.5251684999999995,68.63550475949845,741.6067325949844,
687,TS,False,True,20392,1756497600000,108212.01,108522.1717104394,107436.60572390148,516.9361840656765,20395,1756503000000,108212.01,BE,3,0.0,10.821201,-10.821201,0.0,0.0
688,TS,False,True,20403,1756517400000,108035.99,108288.0753990103,107405.77650247427,420.1423316838201,20403,1756517400000,107405.77650247427,TP,0,63.02134975257359,5.401799500000001,57.61955025257359,630.2134975257359,
689,TS,False,True,20495,1756683000000,108387.96,108544.68874017822,107996.13814955448,261.21456696368887,20496,1756684800000,107996.13814955448,TP,1,39.1821850445529,10.819204907477724,28.362980137075176,391.821850445529,0.0
690,TL,True,True,20561,1756801800000,110306.94,110071.34490864545,110895.92772838638,392.658485590917,20566,1756810800000,110071.34490864545,SL,5,-23.5595091354553,11.018914245432272,-34.57842338088757,235.595091354553,0.0
691,TL,True,True,20571,1756819800000,109365.78,109014.84973808845,110243.10565477886,584.8837698525773,20571,1756819800000,110243.10565477886,TP,0,87.73256547788624,5.468289,82.26427647788624,877.3256547788624,
692,TL,True,True,20685,1757025000000,110823.6,110596.94787691135,111390.23030772165,377.75353848109205,20685,1757025000000,111390.23030772165,TP,0,56.66303077216435,5.541180000000001,51.12185077216435,566.6303077216435,
693,TL,True,True,20692,1757037600000,111121.51,110879.89440676579,111725.54898308552,402.6926553903479,20694,1757041200000,111121.51,BE,2,0.0,11.112151,-11.112151,0.0,0.0
